1391			102
400	
	495
10747	擀面	1
6109	擅自	8
31234	擅自改变	1
24442	擅长	2
4265	操	3
671	操作	25
8180	操作员	1
4396	操作工	1
14970	操作性	3
30778	操作程序	1
24543	操作间	2
4507	操刀	1
18300	操守	2
14956	操心	1
19992	操控	1
29608	操盘手	2
12482	操纵	6
23910	操纵者	2
32412	操行	1
31887	操起	1
28388	擦	2
23824	擦一擦	2
32513	擦亮	1
3773	擦伤	1
29130	擦皮鞋	1
23508	擦边球	3
15883	攀升	2
20116	攀比	2
9940	攀着	1
31451	攀谈	1
29553	攒	3
23816	攥	2
21929	攫取	2
1665	支	2
1504	支付	41
23592	支付宝	2
22915	支付方	1
10588	支出	33
17712	支出额	1
24556	支堑	2
21752	支招	3
6067	支持	126
32547	支持率	1
21054	支持者	1
8100	支援	9
3634	支援灾区	1
486	支撑	20
14567	支撑体系	1
31759	支支吾吾	1
22229	支教	1
27009	支架	1
25344	支柱	2
17259	支柱产业	1
18291	支柱性	1
19268	支树平	1
15090	支流	3
18597	支点	1
27050	支线	2
29240	支起	1
10804	支配	7
29320	支配权	1
6821	支队	5
4944	收	13
5107	收下	1
32531	收不	1
27098	收住	1
15940	收储	5
4102	收入	65
12134	收入水平	3
25563	收入者	1
17002	收关	2
5236	收养	3
14119	收养法	1
4678	收到	36
19256	收发	2
32672	收发站	1
5084	收取	17
10657	收受	7
4508	收受贿赂	2
3043	收回	5
32522	收完	1
29698	收官	1
25865	收尾	3
11994	收归	3
28866	收录	1
10497	收手	4
3037	收拾	5
27471	收支	2
14675	收支平衡	2
8242	收放	1
27209	收效甚微	2
10619	收敛	5
2216	收治	2
10918	收益	11
13109	收益权	1
16864	收盘	1
31115	收看	1
33113	收租	1
24616	收税	1
15349	收紧	5
29767	收编	1
17033	收缩	4
10258	收缴	5
6899	收网	3
3077	收获	8
20014	收视率	2
32631	收货人	1
4621	收购	12
26785	收购价	1
7754	收购价格	1
7814	收购方	2
4595	收购案	3
6620	收费	30
22258	收费站	2
28861	收起	1
16889	收载	1
10509	收钱	3
5450	收银	1
28738	收银台	1
16022	收集	15
31277	攸县	1
14011	改	22
9069	改为	14
28303	改任	1
23009	改写	1
11984	改判	8
28013	改厕	1
7014	改变	61
19198	改号	2
7590	改名	4
10808	改善	61
21762	改善服务	1
31223	改型	1
14618	改增	9
10515	改头换面	1
28725	改完	1
10833	改建	3
17568	改弦更张	1
28732	改得	1
8945	改成	4
13049	改扩建	1
15114	改正	6
10594	改用	1
26901	改由	1
4677	改组	1
20959	改编	1
8150	改良	2
22288	改良版	2
20846	改行	1
27562	改装	4
32245	改装成	1
21200	改过	1
14295	改过来	1
8164	改进	21
7993	改进版	1
10160	改造	21
24401	改锥	1
701	改革	134
11872	改革开放	14
14882	改革方案	9
28997	改革派	1
27600	改革者	2
17539	改革调整	1
18496	改饲	1
29701	攻	1
17005	攻克	2
13642	攻关	6
7984	攻击	8
18005	攻击型	3
8168	攻击方式	1
25862	攻击能力	1
32167	攻势	1
12203	攻坚	13
8826	攻坚战	9
19414	攻读	2
960	放	17
4207	放下	3
25750	放任	1
29972	放任不管	1
31249	放假	1
10873	放入	3
943	放到	15
32337	放剩	1
2062	放在	33
16163	放大	2
5458	放学	4
12934	放宽	8
29815	放射出	1
25804	放射性	1
25690	放射科	1
32981	放屁	4
625	放开	17
3054	放弃	16
31215	放张	1
6962	放心	11
15401	放慢	1
24477	放映厅	1
11546	放权	5
15297	放松	13
30897	放款	2
4454	放水	5
13272	放火	3
9723	放点	1
27728	放狠话	1
26883	放生	1
15857	放眼	1
199	放眼望去	1
12446	放管	7
23525	放纵	1
4248	放线	1
18204	放缓	8
6432	放置	2
4660	放羊	4
9861	放行	2
28478	放贷	3
20085	放进去	2
23011	放量	1
25647	放鞭炮	2
26201	放风筝	1
30240	放高利贷	2
18546	政	3
18936	政事	4
2471	政令	2
15854	政党	5
28654	政出多门	1
17455	政务	7
10595	政协	43
12599	政协主席	5
16749	政协会议	8
13596	政协全国委员会	4
11445	政协委员	42
12645	政协常委会	4
13605	政协提案	2
7427	政发	1
14968	政和	2
1541	政商	5
24720	政坛	4
27350	政委	1
21821	政客	4
21451	政局	2
357	政府	192
16369	政府办	2
21160	政府网	1
16731	政府职能	4
7514	政府部门	18
25202	政府首脑	1
13331	政权	6
4949	政治	80
25340	政治体制	2
12586	政治委员	1
23728	政治学	1
27638	政治局	3
25636	政治局面	1
5825	政治性	1
26431	政治立场	1
16992	政治素质	3
18443	政治经济	1
11674	政治经济学	1
12598	政治责任	1
21341	政治部	2
13151	政法	2
13267	政法委	9
21898	政界	7
17674	政知	6
29068	政知圈	1
17670	政知局	3
644	政策	162
24580	政策主张	2
12329	政策优惠	1
18555	政策性	1
12952	政策措施	11
14368	政策法规	1
32694	政纪处分	1
20223	政纲	3
29853	政绩	1
26033	政绩观	1
26331	政要	1
29088	政途	1
27946	政银	1
27664	政风	2
10359	故	2
10208	故事	12
26227	故人	1
30265	故伎	1
20611	故其	1
9253	故城	1
8918	故宫	3
8953	故宫博物院	2
20571	故应	1
147	故意	23
10339	故意伤害	3
28822	故意伤害罪	2
18842	故意杀人罪	1
20543	故未	1
5046	故而	1
15664	效力	7
11437	效应	18
14178	效忠	2
24014	效忠国家	1
6163	效果	54
32590	效果图	1
29445	效果显著	1
14364	效率	20
31700	效率高	1
29638	效用	1
12187	效益	19
16512	效能	5
8259	敌	3
23318	敌人	3
25023	敌对	3
8268	敌方	1
14385	敏感	19
16586	敏锐	4
2033	救	7
9298	救人	5
2087	救出	5
3228	救助	22
19356	救助者	1
3278	救命	4
30182	救回	1
17561	救场	1
6292	救子	1
19027	救市	2
6651	救护车	4
1939	救援	24
3708	救援队	5
9328	救救	2
28953	救星	1
1806	救治	8
12170	救济	5
28073	救济金	1
1856	救灾	21
4373	救灾物资	4
30035	救赎	1
9694	救起	2
8505	救过来	1
5186	教	11
13745	教义	2
22156	教书	1
15795	教医	1
30425	教员	1
5656	教唆	1
31194	教堂	2
27243	教头	1
15631	教学	10
2457	教学楼	4
12539	教学科研	2
32919	教学秩序	1
27298	教学设备	1
11835	教学质量	2
31742	教官	1
1889	教室	4
32730	教导	1
2444	教师	15
15560	教师工资	1
27815	教师法	1
16154	教师职业	2
15620	教师节	1
11789	教师证	1
6974	教师资格	1
15640	教师队伍	5
16202	教性	1
5922	教授	31
4756	教材	9
23416	教条	1
12643	教科	1
14857	教科书	6
12563	教科文卫体	2
11757	教练	5
24263	教练员	2
27222	教练组	1
26202	教给	1
33200	教职员工	1
583	教育	93
14780	教育会	1
29668	教育体制	1
32772	教育厅	1
21967	教育培养	1
6991	教育局	6
27382	教育工作者	1
22611	教育引导	2
20632	教育法	1
15578	教育界	1
14839	教育科学文化卫生委员会	1
14850	教育经费	1
15767	教育网络	1
14852	教育费	1
18575	教育资源	6
8763	教育部	24
22012	教育部党组	2
15646	教育部长	9
15612	教育部门	7
25879	教育领域	2
13748	教规	1
2684	教训	14
33206	教课	1
32822	教辅	1
13079	敛财	5
31873	敞亮	1
6681	敞开	3
3016	敢	6
28182	敢为天下先	1
13451	敢于	6
14042	敢动	1
17241	敢生	1
14480	敢言	2
14420	敢说话	2
18407	散	3
16921	散及	1
30830	散发	2
28969	散布	3
27547	散户	2
24354	散步	4
24956	散热	1
30170	散落	3
724	敦促	12
19582	敬	1
19744	敬一丹	1
31893	敬业	1
16662	敬意	1
13086	敬烧	1
18570	敬畏	3
26440	敬老	1
16740	敬老养老	1
17318	敬老院	1
4348	数	23
19234	数万	1
21608	数不清	1
31318	数不胜数	1
3530	数个	2
26133	数亿	1
15377	数以万计	1
33305	数以百万计	1
5464	数位	3
5815	数倍	1
3210	数值	2
31947	数公里	1
21306	数十万	1
19292	数十万美元	1
11421	数十个	5
7746	数十亿	1
4729	数十亿元	6
2691	数十亿美元	1
31406	数十位	1
32057	数十厘米	1
25018	数十年	1
32061	数十座	1
21378	数十次	2
15654	数千	2
23210	数千名	2
27940	数名	2
11232	数字	30
18434	数字家庭	2
8316	数字式	1
30075	数学	1
24505	数家	1
27628	数年	4
16313	数应	1
23127	数度	1
5920	数据	93
26562	数据业务	1
26555	数据中心	2
19467	数据传输	1
22354	数据保护	1
16256	数据分析	3
25674	数据处理	1
22397	数据库	4
21203	数日	2
33172	数最多	1
11047	数月	3
6807	数次	2
29797	数理化	1
23866	数百	2
6735	数百万	1
9156	数百亩	1
11304	数百亿元	4
17654	数目	2
6400	数秒	1
4394	数辆	4
2225	数量	60
27927	数钱	3
10541	数额	8
10483	数额较大	1
24624	敲	1
31560	敲定	3
2037	敲开	1
23273	敲诈	3
13000	敲诈勒索	3
13001	敲诈勒索罪	1
19201	敲起	1
32429	敲门	1
28509	敲门声	1
13397	敲门砖	1
21503	整	1
26029	整不动	1
85	整个	81
3772	整体	36
30047	整体实力	1
15096	整体性	3
11852	整体素质	1
18124	整体而言	2
29547	整党	1
7437	整合	9
3771	整块	1
17469	整天	2
3127	整容	1
9984	整宿	1
3099	整座	1
20834	整张	1
23962	整形手术	4
13016	整改	18
27680	整改意见	1
31116	整改措施	1
5412	整整	4
23108	整日	2
5359	整晚	1
31862	整条路	1
4105	整栋	1
12968	整治	26
5112	整洁	4
33285	整版	1
13691	整理	6
17786	整肃	3
31484	整起	1
10707	整锅	1
15371	整顿	7
16629	整齐	1
20821	敷衍	1
5410	文	14
27218	文一	1
4550	文中	9
20261	文书	7
6745	文件	38
26128	文件精神	1
25081	文保	1
21294	文凭	1
813	文化	70
12491	文化交流	3
16517	文化产业	6
18954	文化名城	1
25155	文化周	1
16240	文化差异	1
21328	文化底蕴	2
26028	文化素质	1
20612	文化背景	1
17631	文化遗产	5
12522	文化部	5
31649	文喜	2
31552	文喜相	3
21516	文在寅	13
29629	文在寅上	1
30347	文娱	2
4723	文字	14
18825	文学	1
23458	文尚	5
12738	文山	2
12758	文山州	1
25074	文广	1
17355	文彩	1
16873	文心	1
22695	文投	1
17692	文教	1
4179	文昌	1
12210	文明	12
18562	文明执法	2
24431	文曲	1
33059	文末	1
12066	文本	3
18156	文森	2
33201	文森特	1
15903	文武之道	2
21069	文汇	4
18763	文物	9
24554	文物保护	2
16515	文物保护法	5
16649	文盲率	2
23129	文科	1
1521	文章	33
23333	文笔	1
20018	文艺	1
20061	文艺创作	1
20890	文艺圈	1
20963	文艺片	1
19533	文艺界	3
25331	文莱	1
29718	文虎	1
30064	文说	1
5433	文身	2
18920	文集	1
26678	文风	1
32990	文首	1
13054	斋	1
7972	斋堂	1
21831	斑	3
7684	斑驳	1
1800	斗	2
13334	斗争	12
19982	斗地主	1
22595	斗志	2
29976	斗殴	1
16645	斗笠	1
30976	斗鱼	1
1727	料	5
30210	料受	2
1549	料理店	1
9585	斜	1
5322	斜斜	1
26695	斟酌	1
15445	斡旋	3
9440	斤	3
30150	斥	1
4715	斥资	1
17968	斩断	3
25490	斩除	1
4058	断	5
27328	断后	1
26477	断头	2
14018	断崖	1
20082	断掉	2
9095	断水	1
9433	断点	1
30564	断片	1
3913	断电	3
13902	断章取义	3
17430	断腕	2
9041	断路	1
32738	断送	1
15044	断面	1
31486	斯	2
26160	斯卡	2
30209	斯图加特	1
20938	斯坦尼	1
10901	斯塔夫	1
20925	斯拉夫斯基	1
23168	斯斯文文	1
16871	斯汀	1
33325	斯派塞	1
27587	斯特	2
21039	斯科特	2
23913	斯蒂夫	2
10527	斯诺	1
25393	斯里兰卡	1
1449	新	229
17018	新一代	5
16952	新一任	2
25009	新一届	8
755	新一轮	20
25507	新世界	1
15951	新世纪	6
18460	新举措	3
9758	新乐	1
9594	新乐市	1
8796	新乡市	1
30872	新人	1
2519	新任	27
15933	新低	3
22232	新余市	1
2636	新兴	6
17625	新兴产业	2
27827	新兵	1
22899	新农	2
27325	新出	1
13414	新加坡	14
15844	新动力	2
12815	新区	3
10129	新华	6
32824	新华书店	1
3685	新华社	52
13907	新华网	10
11562	新厂区	1
18140	新台阶	2
589	新型	26
6631	新型农村	2
12212	新城	1
10799	新增	47
17577	新天地	2
29136	新学	1
425	新安	1
2465	新官上任三把火	1
25083	新局	1
27182	新帅	1
23599	新平	1
25858	新年	6
26822	新年伊始	1
26264	新年快乐	2
22407	新年贺词	5
10827	新建	16
10834	新开工	3
13673	新形势下	3
25054	新形态	1
26673	新思路	1
21444	新意	1
17753	新房	1
23309	新政	7
16526	新政府	17
27220	新教练	1
17003	新旧	6
6862	新昌	1
6951	新昌县	1
29755	新星	1
23239	新春	1
30362	新晋	1
29749	新晚报	1
16350	新机制	3
21012	新机遇	1
3373	新村	3
13682	新格局	2
16603	新气象	4
2945	新沟	2
2783	新沟镇	3
10782	新油	1
31830	新泉	1
31786	新泉镇	1
25648	新法	2
25038	新浦	2
23517	新浪	2
20901	新添	2
16441	新版	5
13681	新理念	9
15750	新生	7
6073	新生事物	3
13541	新生儿	8
4471	新界	1
494	新疆	7
25944	新疆生产建设兵团	1
26933	新疆维吾尔自治区	1
735	新疆自治区	1
23344	新的篇章	1
25740	新税	1
24063	新窗口	1
20706	新立	1
30666	新罗	1
11667	新能源	10
16797	新药	4
8834	新蔡县	1
26838	新西兰	2
6037	新规	9
26898	新规中	2
15522	新视野	1
7606	新订	1
17591	新设	3
26687	新词	2
29120	新词语	1
16640	新貌	1
19401	新质	1
28154	新购	1
25425	新路	1
22094	新路子	1
26211	新近	2
18674	新进展	5
52	新闻	719
29687	新闻人物	1
12602	新闻出版	3
23921	新闻台	1
10982	新闻周刊	3
21137	新闻媒体	3
17731	新闻局	1
19644	新闻报道	2
443	新闻热线	3
17814	新闻界	1
12741	新闻社	6
21915	新闻稿	1
2224	新闻纵横	6
1811	新闻线索	1
2454	新闻网	15
2853	新闻记者	25
21005	新闻资料	4
28374	新闻频道	2
26706	新颖	1
12964	新风	1
11389	新高	8
3835	新鲜	6
17793	新鲜出炉	1
29851	新鲜血液	1
76	方	17
11745	方丈	1
7689	方以	1
1632	方便	25
26394	方便快捷	1
17536	方便群众	2
2126	方便面	8
32322	方便面碗	1
30802	方可	1
273	方向	64
15957	方向性	2
24109	方寸	1
22307	方岘	1
17479	方应	2
1045	方式	124
5921	方志	1
19575	方方	1
14292	方方面面	11
6970	方未	1
7310	方案	36
29750	方案设计	1
19586	方正	3
21369	方民洙	1
6159	方法	26
16746	方法论	1
12675	方略	3
7578	方经	1
6599	方言	2
13575	方针	12
24031	方针政策	2
25254	方队	1
804	方面	220
18729	施	2
21950	施以	3
19632	施加压力	1
31149	施加影响	1
23796	施压	8
32406	施培杰	1
18788	施展才华	1
10207	施峰	1
8328	施工	13
4350	施工人员	2
6087	施工单位	2
32598	施工现场	1
7615	施政	8
20231	施政报告	3
22646	施教	1
28862	施暴者	2
20491	施杰	5
22336	施杰亦	1
16017	施用	3
16038	施用量	2
16665	施策	7
12583	施耀忠	2
14484	施行	11
3372	旁	9
5384	旁人	1
30236	旁听	1
28558	旁听席	1
28548	旁听者	1
19633	旁征博引	1
15224	旁观者	1
2022	旁边	14
9759	旅	3
9896	旅客	4
24115	旅店	1
24506	旅日	2
8690	旅游	42
12395	旅游业	6
30663	旅游业界	1
7963	旅游委	2
30632	旅游局	2
25947	旅游景点	1
30680	旅游社	1
33134	旅游者	1
30674	旅游观光	1
32202	旅社	1
28060	旅级	2
27895	旅行	3
30689	旅行团	1
30659	旅行社	1
19473	旅长	1
4327	旅馆	1
20603	旋即	1
8056	旋翼	2
2421	旋转	1
20622	旋转门	2
11056	族裔	1
4873	旗下	13
20241	旗号	3
14165	旗子	2
16356	旗帜	2
26430	旗帜鲜明	2
21490	旗手	1
25526	旗舰店	1
3499	无	53
31822	无一	1
5062	无业	1
24113	无业游民	1
22548	无中生有	1
7057	无人	8
12793	无人不知	1
32309	无人居住	1
18006	无人机	2
27951	无人知晓	1
25761	无偿	2
13629	无党派	1
13757	无党派人士	2
16539	无关	8
33289	无出其右	1
31267	无前科	1
5223	无力	4
26278	无力解决	1
10411	无动于衷	3
21281	无助	2
18171	无助于	4
16184	无可	1
25217	无可争辩	1
24038	无可厚非	2
28887	无可奈何	2
16601	无可替代	3
6068	无味	1
370	无地	1
21359	无处	1
22219	无处不在	1
8425	无大	1
9531	无奈	11
13393	无害	1
16013	无害化	3
29273	无家可归	1
11154	无尽	1
29234	无师自通	1
22928	无异于	1
17149	无异议	2
20900	无形中	4
7456	无形资产	2
4071	无影无踪	1
21733	无心	1
32901	无忧无虑	1
32942	无悔	1
5342	无意	5
31284	无意间	2
29183	无所不教	1
17603	无所作为	1
19180	无所谓	1
24799	无所适从	1
3350	无措	1
30606	无故	1
7533	无效	20
22471	无教	1
11117	无数	5
26299	无数次	2
17255	无暇	1
29286	无望	1
30260	无期	1
30227	无期徒刑	3
10689	无杂质	1
7619	无权	2
13020	无条件	2
9263	无极	2
31378	无果	1
15441	无核化	12
25242	无核武器	1
13413	无毒	1
29965	无比	1
304	无法	56
29093	无法回答	1
31791	无法控制	1
24492	无法访问	1
27155	无烟	1
31240	无牌	1
27238	无独有偶	1
10405	无理	1
10412	无疑	17
5599	无知	2
14379	无稽之谈	1
18554	无穷	1
26057	无章可循	1
193	无端	1
18117	无米	1
19396	无线电	3
23438	无线电台	2
23441	无线电管理委员会	2
30205	无线网	2
26577	无线网络	1
12621	无缘	1
6812	无缝	3
11221	无罪	8
13195	无罪判决	1
10283	无罪释放	1
21384	无能	2
28845	无能为力	1
10710	无菌	2
10494	无视	2
23731	无计可施	2
5789	无论	22
9590	无论如何	4
12749	无论是	20
24738	无论谁	1
12045	无证	4
4932	无证据	2
23391	无谓	1
32053	无赖	1
11186	无辜	6
29283	无辜者	1
358	无过	1
31159	无遗	1
465	无释	1
4245	无锡	2
29737	无限	2
26740	无障碍	1
11671	无需	6
2	无非	3
19221	无骗	1
5191	既	52
22604	既不应隐而不报	1
24734	既定	1
471	既定目标	1
24718	既成事实	1
15229	既是	3
9245	既有	7
13967	既然	11
30538	既能	1
17233	既要	3
145	日	474
32505	日产量	1
31555	日俄	2
31646	日俄都	1
23426	日元	1
27570	日内瓦	2
24346	日出日落	1
1700	日前	47
29902	日化	1
9487	日后	6
22380	日均	1
3528	日夜不停	1
5366	日子	14
11494	日常	18
13066	日常生活	3
1635	日式	1
10538	日报	7
32732	日新月异	1
18175	日方	7
22191	日日	1
2845	日晚	31
21063	日景	1
5559	日期	9
14569	日本	44
21549	日本共同社	6
21555	日本政府	4
1618	日本料理	1
20453	日本海	9
30044	日本自卫队	1
21554	日本自民党	1
22298	日本首相	3
20197	日渐	6
32675	日用品	1
462	日电	123
14243	日益	16
12832	日益严重	3
20847	日益增长	2
25343	日益突出	4
32527	日积月累	1
18902	日程	9
29236	日程表	1
22823	日美	1
26328	日美军	1
1284	日讯	9
23183	日记	2
25522	日语	1
23457	日货	3
25418	日趋	1
16700	日间	2
28240	旦	1
6440	旧	12
17752	旧房	1
14036	旧有	1
7560	旧案	1
18309	旧账	1
10927	旧金山	1
11030	旧金山湾	1
1432	旨在	10
6175	早	27
2019	早上	21
17124	早上好	2
24221	早中晚	1
26952	早于	1
19753	早些	1
26276	早些时候	3
29434	早产	1
1619	早前	7
10484	早在	11
17300	早就	4
10895	早已	12
4573	早年	4
17179	早教	2
6194	早日	11
10898	早早	5
8682	早晚	2
7874	早晨	3
1191	早期	8
22176	早期教育	1
4043	早点	6
14100	早育	1
21870	早退	1
7175	早间	1
6558	早餐	3
1156	旬	2
18617	旱作	1
272	时	334
25495	时不时	2
31712	时主	1
1424	时代	34
25059	时代性	1
25048	时代特征	1
4865	时任	16
25010	时会	2
22586	时作	2
2255	时候	120
20447	时值	3
10930	时光	4
5429	时分	2
5827	时则	2
3767	时刻	14
7476	时原	1
3231	时发	1
7714	时向	1
31527	时因	1
6968	时园	1
15742	时尚	4
17871	时尚服饰	1
897	时尚杂志	1
11192	时常	6
28644	时想	1
7696	时所	1
7192	时报	4
27760	时报讯	1
28344	时政	1
17331	时日	2
22092	时时刻刻	2
14907	时有发生	7
1473	时期	32
13842	时机	10
25007	时机成熟	2
6479	时段	8
29412	时生	1
4531	时称	8
4165	时空	1
28432	时而	2
22045	时能	1
23355	时至今日	3
2983	时许	22
28584	时评	1
15871	时说	11
9048	时距	1
2317	时速	2
13553	时钟	2
21476	时长	3
729	时间	165
19736	时间差	1
24217	时间推移	1
16616	时间表	7
7834	时间跨度	1
8437	时闸	1
17978	时限	5
10967	时隔	3
31715	时需	1
24290	旺	1
6457	旺盛	3
21024	旻	1
6314	昂贵	3
11478	昆	1
11520	昆明	4
604	昆明市	1
21860	昆曲	1
25091	昌州	1
7980	昌平	2
6227	昌平区	3
26330	昌盛	1
5898	明	2
30933	明光市	2
13481	明嘉靖	1
18381	明处	1
2400	明天	13
20663	明察暗访	3
12411	明年	11
26675	明快	1
24030	明报	1
22791	明摆着	1
10585	明文	2
21604	明文禁止	1
21610	明文规定	3
1757	明日	5
24055	明明	3
11783	明星	13
12730	明春	1
371	明显	84
12890	明显增加	6
8417	明显增强	4
15946	明显提高	4
16737	明显改善	3
15197	明显降低	3
2183	明晨	1
14908	明晰	5
21523	明朗	1
32050	明朝	1
31828	明泰	1
22560	明洞	4
18949	明清	1
29875	明珠	1
16605	明白	15
22790	明目张胆	1
19464	明知	2
28957	明码标价	2
503	明确	105
6011	明确指出	6
521	明确提出	22
14679	明确要求	8
10446	明确规定	24
3132	明确责任	1
24623	明细	2
6773	明胶	1
197	明说	4
13224	明责	1
27464	明起	2
5972	明面	1
4050	昏暗	1
8676	易	8
30437	易中天	1
25350	易制毒	2
3144	易发	4
10818	易地	10
28383	易学	1
31336	易居	1
22580	易纲	2
657	易鹏	1
17282	昔日	3
20140	昙花一现	1
20394	星	7
21065	星岛日报	2
21371	星州	15
10993	星巴克	2
29162	星座图	1
24382	星星	1
5143	星期	5
17070	星期三	4
16611	星期二	1
26239	星期六	1
28148	星期四	2
11959	星期日	2
24772	星洲	2
24392	星球	1
24039	映客	1
28401	春	3
19698	春天	4
5928	春季	2
15675	春晖	1
17801	春暖花开	1
11524	春梅	2
11729	春节	15
24933	春节假期	5
4590	春节前夕	2
22109	春雨	1
2167	昨	2
7946	昨夜	1
2244	昨天	38
6272	昨天上午	5
109	昨天下午	6
3988	昨天中午	2
2227	昨天晚上	2
1901	昨日	34
1812	昨晚	9
8108	昭示	2
22270	昭通	1
4190	昭通市	1
41	是	551
7100	是不是	34
5542	是从	27
1483	是否	127
28145	是否是	1
1016	是因为	32
18034	是涨	1
16083	是非	4
24044	昵称	2
8039	昼夜	3
11582	显	5
7188	显得	19
6484	显微镜	1
14343	显性	1
5093	显然	21
11433	显现	11
13919	显现出	2
22409	显现出来	2
11464	显眼	1
234	显示	118
6554	显示器	2
32989	显而易见	1
1766	显著	20
17894	显著性	1
19902	显见	2
24804	显身手	1
20755	显露	2
32227	晃	1
3481	晃动	2
7318	晋	5
5818	晋升	15
19413	晋升为	3
5902	晋升制度	1
5539	晋姓	1
5455	晋某	1
5438	晋某文	1
4337	晒	5
22194	晒出	1
28820	晕	1
30571	晕晕乎乎	1
4201	晚	14
2001	晚上	36
9314	晚在	3
26416	晚婚	1
13980	晚婚晚育	1
24051	晚安	1
26309	晚年	2
238	晚报	6
6269	晚期	1
2095	晚班	2
14083	晚生	1
3583	晚间	8
29229	晚霞	1
5295	晚饭	4
20861	晨	1
10232	晨报	1
10166	晨报讯	4
11519	普	2
25330	普京	3
27886	普卡	1
11756	普及	11
27320	普及教育	1
27156	普及率	1
11479	普工	1
15328	普惠	3
16522	普惠性	4
13812	普法	3
22102	普法教育	1
5975	普通	25
19620	普通人	4
15781	普通农民	1
23652	普通家庭	3
11488	普通工人	2
20623	普通教育	2
23587	普通用户	1
14578	普通话	2
18473	普通高中	2
20624	普通高校	2
537	普遍	34
16011	普遍存在	5
27791	普遍性	1
18367	普遍推行	1
27874	普遍提高	1
13926	普遍现象	2
30616	普遍认为	1
9237	普降	1
30734	普高	1
33137	景	1
7862	景区	11
9750	景家屯	1
27080	景山	1
16842	景气	3
25378	景洪	1
23815	景海鹏	2
33123	景点	1
27079	景色	1
8575	景观	1
5883	景象	3
8450	晴热	1
22869	晴空	1
19051	晴雨表	1
4264	晶体	2
5552	晶报	1
16550	晶龙	2
15800	智	1
6350	智力	11
31799	智商	1
490	智库	9
7954	智慧	18
17514	智者	2
30341	智联	2
18716	智能	4
15842	智能化	2
27157	智能手机	2
8195	智造	1
31772	智障	2
8593	晾	1
8623	晾晒	1
28826	晾着	1
3679	暂	5
30727	暂不	1
9414	暂且	1
31456	暂住	1
7545	暂停	16
17027	暂定	1
28133	暂定为	1
6057	暂扣	3
32414	暂无	1
54	暂时	19
9678	暂未	1
14642	暂缓	2
15608	暂行	3
14975	暂行办法	5
19048	暂行条例	3
14256	暂行规定	2
33122	暑假	1
26723	暖	1
28824	暖壶	1
2784	暖湿气流	2
24166	暖炉	1
3966	暗	2
6774	暗中	3
30073	暗亏	1
21562	暗地里	1
31175	暗恋	1
28857	暗流	1
22601	暗点	2
20139	暗示	2
3857	暗自	1
24074	暗藏	3
31616	暗语	2
15565	暨	4
27563	暴	3
30417	暴利行业	1
6118	暴力	12
20293	暴力事件	1
6116	暴力犯罪	2
11210	暴力行为	2
13279	暴恐	2
10941	暴晒	1
2748	暴流	2
8344	暴涨	7
28846	暴者	1
5376	暴躁	2
2814	暴雨	25
9677	暴露	13
16560	暴露出	10
31358	暴风	1
26872	曙光	2
1762	曝	7
4458	曝光	28
20086	曝光率	2
5853	曝出	7
28633	曝露	1
23572	曦	1
21279	曲子	2
25624	曲线	4
30851	曲线救国	1
21235	曲艺	1
31883	曲阜	1
31894	曲阜市	1
28532	曲靖	1
55	更	228
556	更为	20
27336	更为重要	1
22070	更优	2
21428	更何况	3
26065	更具	2
8276	更加	75
19438	更名	3
4809	更多	44
5810	更好	62
6393	更弱	1
8923	更快	5
24736	更惨	1
10531	更换	7
14260	更改	4
1478	更新	18
1785	更是	38
12893	更替	1
16750	更深	3
27819	更累	1
22894	更胜一筹	1
890	更衣间	1
5411	更让人	3
26829	更趋	1
15273	更进一步	5
1948	更远	2
27262	更迭	1
25630	更长	1
26759	更难	1
1050	曹	2
20002	曹可凡	1
27041	曹妃甸	1
27968	曹宇	1
11952	曹建明	16
28189	曹征海	1
11905	曹德旺	1
4269	曹春林	1
19556	曹禺	1
31922	曼城	1
31923	曼彻斯特	1
23225	曼谷	2
939	曾	145
29957	曾一度	1
33166	曾于	2
27158	曾剑秋	1
1496	曾多次	11
32702	曾子捷	4
26656	曾效力	1
33104	曾文强	1
11537	曾用名	1
1777	曾经	29
28191	曾维	1
31107	曾齐	1
14409	替	13
1098	替为	1
14613	替代	10
22997	替代品	1
22955	替代性	1
22905	替诺	1
20156	替身	1
2364	最	154
4321	最为	10
24193	最久	1
2303	最低	28
26504	最低价	1
25951	最低工资	2
25945	最低标准	3
2189	最低气温	5
16420	最佳	6
26642	最佳阵容	1
9696	最先	3
7633	最初	13
17935	最合适	1
64	最后	80
6739	最多	22
1813	最大	100
16584	最大公约数	6
20573	最大化	1
1198	最好	21
18772	最富	3
4307	最小	6
1653	最少	5
22591	最差	2
19254	最广	1
29661	最底层	1
8001	最强	5
21912	最快	7
3550	最新	40
15468	最新消息	2
25848	最新版	2
10384	最新进展	2
7326	最早	16
7053	最深	3
33121	最爱	1
23350	最短	1
3155	最终	90
4150	最缺	1
24152	最美	2
26983	最贵	1
174	最近	66
17663	最远	2
22324	最迟	2
26912	最迟在	2
8746	最重	2
9337	最金	1
5331	最长	6
16345	最难	4
820	最高	67
11941	最高人民检察院	25
10883	最高人民法院	28
13253	最高检	12
21658	最高法院	4
2546	最高级别	2
20318	最高院	3
133	月	503
23016	月亮	3
4443	月份	41
5142	月入	2
15589	月初	5
1261	月前	3
19240	月均	1
